ID,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,39353,85475,117961,118300,123472,117905,117906,290919,117908
2,17183,1540,117961,118343,123125,118536,118536,308574,118539
3,36724,14457,118219,118220,117884,117879,267952,19721,117880
4,36135,5396,117961,118343,119993,118321,240983,290919,118322
5,42680,5905,117929,117930,119569,119323,123932,19793,119325
6,45333,14561,117951,117952,118008,118568,118568,19721,118570
7,25993,17227,117961,118343,123476,118980,301534,118295,118982
8,19666,4209,117961,117969,118910,126820,269034,118638,126822
9,31246,783,117961,118413,120584,128230,302830,4673,128231
10,78766,56683,118079,118080,117878,117879,304519,19721,117880
11,4675,3005,117961,118413,118481,118784,117906,290919,118786
12,15030,94005,117902,118041,119238,119093,138522,119095,119096
13,79954,46608,118315,118463,122636,120773,123148,118960,120774
14,4675,50997,91261,118026,118202,119962,168365,118205,119964
15,95836,18181,117961,118343,118514,118321,117906,290919,118322
16,19484,6657,118219,118220,118221,117885,117886,117887,117888
17,114267,23136,117961,118052,119742,118321,117906,290919,118322
18,35197,57715,117961,118446,118701,118702,118703,118704,118705
19,86316,7002,117961,118343,123125,118278,132715,290919,118279
20,27785,5636,117961,118413,122007,118321,117906,290919,118322
21,37427,5220,117961,118300,118458,120006,303717,118424,120008
22,15672,111936,117961,118300,118783,117905,240983,290919,117908
23,92885,744,117961,118300,119181,118777,279443,308574,118779
24,1020,85475,117961,118300,120410,118321,117906,290919,118322
25,4675,7551,117961,118052,118867,118259,117906,290919,118261
26,41334,28253,118315,118463,123089,118259,128796,290919,118261
27,77385,14829,117961,118052,119986,117905,117906,290919,117908
28,20273,11506,118216,118587,118846,179731,128361,117887,117973
29,78098,46556,118090,118091,117884,118568,165015,19721,118570
30,79328,4219,117961,118300,120312,120313,144958,118424,120315
31,23921,4953,117961,118343,119598,120344,310997,118424,120346
32,34687,815,117961,118300,123719,117905,117906,290919,117908
33,43452,169112,117902,118041,119781,118563,121024,270488,118565
34,33248,4929,117961,118300,118825,118826,226343,118424,118828
35,78282,7445,117961,118343,122299,118054,121350,117887,118055
36,17183,794,118752,119070,117945,280788,152940,292795,119082
37,38658,1912,119134,119135,118042,120097,174445,270488,120099
38,14354,50368,117926,118266,117884,118568,281735,19721,118570
39,45019,1080,117961,118327,118378,120952,120953,118453,120954
40,13878,1541,117961,118225,123173,120812,123174,118638,120814
41,14570,46805,117929,117930,117920,118568,281735,19721,118570
42,74310,49521,117961,118300,118301,119849,235245,118638,119851
43,6977,1398,117961,118300,120722,118784,130735,290919,118786
44,31613,5899,117961,118327,120318,118777,296252,308574,118779
45,1020,21127,117961,118052,119408,118777,279443,308574,118779
