id,ACTION
1,0.926923
2,0.979429
3,0.996673
4,0.995793
5,0.999295
6,0.997136
7,0.959611
8,0.999902
9,0.925424
10,0.972726
11,0.974701
12,0.978138
13,0.992160
14,0.802869
15,0.947066
16,0.959341
17,0.614360
18,0.813988
19,0.997898
20,0.996345
21,0.999197
22,0.993538
23,0.976574
24,0.980611
25,0.995025
26,0.943273
27,0.993310
28,0.985761
29,0.983187
30,0.916945
31,0.993178
32,0.983506
33,0.992666
34,0.995113
35,0.992069
36,0.986734
37,0.991893
38,0.999770
39,0.991010
40,0.965899
41,0.951398
42,0.992367
43,0.990580
44,0.994845
45,0.995444
46,0.987444
47,0.999097
48,0.984444
49,0.999942
50,0.998308
51,0.987774
52,0.994569
53,0.987179
54,0.997811
55,0.980489
56,0.993127
57,0.988902
58,0.999316
59,0.993825
60,0.991423
61,0.996159
62,0.998207
63,0.984943
64,0.997780
65,0.998668
66,0.991485
67,0.990541
68,0.999017
69,0.990326
70,0.727755
71,0.985266
72,0.988880
73,0.996604
74,0.998303
75,0.989831
76,0.998843
77,0.998053
78,0.967119
79,0.696241
80,0.998740
81,0.999575
82,0.996242
83,0.966900
84,0.996385
85,0.990465
86,0.959783
87,0.980208
88,0.998138
89,0.995278
90,0.858369
91,0.991991
92,0.793487
93,0.997594
94,0.987372
95,0.991417
96,0.998511
97,0.464011
98,0.998277
99,0.994026
100,0.997770
101,0.978626
102,0.347004
103,0.996280
104,0.989346
105,0.473301
106,0.996323
107,0.999184
108,0.977513
109,0.990697
110,0.983349
111,0.843621
112,0.978898
113,0.984219
114,0.999097
115,0.978432
116,0.973340
117,0.990181
118,0.955595
119,0.999268
120,0.988514
121,0.952278
122,0.990656
123,0.897560
124,0.997685
125,0.990718
126,0.839530
127,0.794838
128,0.954321
129,0.935205
130,0.995153
131,0.997495
132,0.998084
133,0.992280
134,0.909605
135,0.998915
136,0.965133
137,0.997346
138,0.936213
139,0.959887
140,0.998988
141,0.998418
142,0.971461
143,0.995214
144,0.995205
145,0.999579
146,0.704499
147,0.780909
148,0.820586
149,0.999206
150,0.987497
151,0.998334
152,0.856503
153,0.994964
154,0.960163
155,0.976130
156,0.968016
157,0.992726
158,0.992467
159,0.976613
160,0.971747
161,0.955877
162,0.996851
163,0.998571
164,0.977980
165,0.990792
166,0.999667
167,0.975641
168,0.992100
169,0.989228
170,0.996301
171,0.997585
172,0.993258
173,0.963476
174,0.995362
175,0.989987
176,0.999358
177,0.960278
178,0.995505
179,0.999494
180,0.925756
181,0.676853
182,0.987695
183,0.943779
184,0.918179
185,0.991143
186,0.973932
187,0.997941
188,0.987429
189,0.612142
190,0.992576
191,0.999574
192,0.996436
193,0.997732
194,0.995485
195,0.968963
196,0.997501
197,0.991615
198,0.976939
199,0.993892
200,0.882879
201,0.996194
202,0.988813
203,0.957637
204,0.993526
205,0.999002
206,0.989426
207,0.995357
208,0.987423
209,0.664395
210,0.770539
211,0.957174
212,0.991920
213,0.998394
214,0.982568
215,0.992071
216,0.911191
217,0.952662
218,0.995781
219,0.996100
220,0.977513
221,0.441248
222,0.999416
223,0.999485
224,0.992546
225,0.959341
226,0.786139
227,0.972746
228,0.990667
229,0.998775
230,0.995468
231,0.983403
232,0.958801
233,0.967447
234,0.117848
235,0.907634
236,0.965190
237,0.969638
238,0.984324
239,0.913224
240,0.998470
241,0.983170
242,0.752616
243,0.481508
244,0.991951
245,0.986959
246,0.999285
247,0.983631
248,0.984309
249,0.988340
250,0.997718
251,0.996615
252,0.964037
253,0.998617
254,0.999140
255,0.999107
256,0.976879
257,0.985741
258,0.943084
259,0.989637
260,0.998723
261,0.993225
262,0.969363
263,0.996018
264,0.998323
265,0.998002
266,0.991429
267,0.981574
268,0.997591
269,0.985073
270,0.995618
271,0.995536
272,0.972985
273,0.995431
274,0.613149
275,0.998329
276,0.938974
277,0.997270
278,0.999085
279,0.986970
280,0.946108
281,0.999629
282,0.998999
283,0.957466
284,0.952243
285,0.997753
286,0.992092
287,0.999564
288,0.996800
289,0.994067
290,0.995455
291,0.651741
292,0.912245
293,0.992194
294,0.986558
295,0.993480
296,0.439188
297,0.691079
298,0.979880
299,0.883650
300,0.996901
301,0.832675
302,0.997343
303,0.564653
304,0.906017
305,0.994190
306,0.995201
307,0.981849
308,0.999554
309,0.938299
310,0.982889
311,0.998689
312,0.996716
313,0.995003
314,0.998827
315,0.999283
316,0.996232
317,0.963398
318,0.996711
319,0.740127
320,0.998820
321,0.996389
322,0.414414
323,0.999689
324,0.992361
325,0.964619
326,0.922448
327,0.995761
328,0.998906
329,0.997571
330,0.994803
331,0.995787
332,0.971152
333,0.993667
334,0.934192
335,0.993526
336,0.982430
337,0.988659
338,0.993748
339,0.990876
340,0.994544
341,0.998837
342,0.989616
343,0.981349
344,0.999494
345,0.999091
346,0.997356
347,0.989126
348,0.984345
349,0.998008
350,0.958406
351,0.974519
352,0.999689
353,0.985050
354,0.884713
355,0.983965
356,0.996942
357,0.994056
358,0.996113
359,0.973303
360,0.545878
361,0.960005
362,0.983879
363,0.975722
364,0.917297
365,0.999439
366,0.999425
367,0.993781
368,0.999006
369,0.992226
370,0.997594
371,0.986523
372,0.995148
373,0.797394
374,0.279866
375,0.955639
376,0.993166
377,0.688776
378,0.991693
379,0.997761
380,0.910856
381,0.859239
382,0.984937
383,0.999698
384,0.991815
385,0.991352
386,0.984448
387,0.848798
388,0.981750
389,0.992766
390,0.993764
391,0.913937
392,0.997619
393,0.948476
394,0.991607
395,0.977255
396,0.991780
397,0.999659
398,0.983970
399,0.996297
400,0.996049
401,0.996809
402,0.993374
403,0.983767
404,0.973848
405,0.998766
406,0.989777
407,0.930101
408,0.994949
409,0.970015
410,0.997960
411,0.997914
412,0.961066
413,0.863589
414,0.996652
415,0.988803
416,0.938031
417,0.989504
418,0.993730
